   3611.212       72425.00       1164.760       759.0000    
   4336.112       74470.00       1386.910       971.0000    
   6971.082       76582.00       1420.420       959.0000    
   8263.036       78671.00       1681.380       995.0000    
   7798.364       80733.00       1671.730       949.0000    
   7535.080       82761.00       1744.800       1010.000    
   6735.153       84752.00       1893.420       1089.000    
   8391.264       86700.00       2205.540       1085.000    
   9988.229       88691.00       2171.310       1085.000    
   10599.19       90725.00       2541.640       1181.000    
   12023.57       92804.00       2425.580       1069.000    
   10629.71       94929.00       2610.960       1140.000    
   9885.037       97100.00       2856.540       1216.000    
   9417.188       99294.00       3100.590       1261.000    
   8644.503       101509.0       3359.460       1251.000    
   8699.551       103744.0       3767.470       1298.000    
   9316.000       106000.0       4088.890       1375.000    
   11217.85       108275.0       4480.600       1390.000    
   2622.248       586220.0       52674.28       786.0000    
   2822.878       599643.0       54611.79       765.0000    
   3225.250       613459.0       57607.40       817.0000    
   3326.994       627632.0       60522.87       812.0000    
   3087.235       642134.0       63844.55       859.0000    
   3399.316       656941.0       63878.40       882.0000    
   3754.996       672021.0       65965.20       837.0000    
   4226.823       687332.0       66884.39       882.0000    
   4437.536       702821.0       73126.19       908.0000    
   4774.240       718426.0       75516.43       934.0000    
   4506.179       734072.0       78665.65       986.0000    
   4610.302       749677.0       82819.15       1008.000    
   4856.040       765147.0       95035.73       1050.000    
   5003.916       781893.0       96229.85       1092.000    
   4912.539       798680.0       99352.37       1123.000    
   4626.717       815590.0       110267.9       1204.000    
   4896.812       832535.0       116408.2       1235.000    
   5156.861       849515.0       120894.5       1262.000    
   195255.3       126410.0       8164.010       833.0000    
   174793.0       129499.0       9378.370       895.0000    
   184918.9       132589.0       10756.99       955.0000    
   196338.7       135903.0       11414.23       981.0000    
   177952.5       139096.0       13353.28       1034.000    
   165885.3       142204.0       15514.44       1124.000    
   199312.0       145262.0       17234.29       1194.000    
   259932.3       148303.0       19328.82       1282.000    
   236583.2       151305.0       20879.68       1480.000    
   288568.1       154245.0       21374.53       1486.000    
   394546.5       157157.0       21388.74       1568.000    
   487977.6       160075.0       21703.34       1609.000    
   512862.1       163036.0       22980.87       1651.000    
   461542.4       166015.0       23374.39       1687.000    
   424617.5       168990.0       24173.16       1703.000    
   396277.0       171994.0       27058.98       1729.000    
   406244.4       175063.0       29819.31       1826.000    
   436417.3       178232.0       32523.63       1973.000    
   153404.6       33935.00       18192.28       2063.000    
   260800.1       34606.00       18815.58       2233.000    
   267797.6       35281.00       19647.58       2321.000    
   261110.8       35849.00       22135.42       2556.000    
   265305.1       36412.00       25896.29       2777.000    
   252377.6       36969.00       28662.44       3078.000    
   272628.9       37534.00       32723.42       3318.000    
   416181.6       38124.00       33959.80       3093.000    
   452507.8       38723.00       34708.17       3212.000    
   479451.8       39326.00       34766.30       3395.000    
   457579.6       39910.00       37427.48       3712.000    
   511745.1       40406.00       40660.52       4005.000    
   440980.9       40806.00       42580.28       4217.000    
   398886.5       41184.00       46371.12       4622.000    
   383289.3       41575.00       50698.16       5080.000    
   327564.1       41975.00       56116.64       5606.000    
   296919.3       42380.00       60794.89       6090.000    
   279431.2       42869.00       70428.10       6665.000    
   910.4938       11690.00       3901.930       2559.000    
   815.6274       11974.00       4565.970       2797.000    
   831.1985       12258.00       4750.990       2668.000    
   905.0158       12545.00       4927.350       2854.000    
   928.2949       12837.00       4801.450       3077.000    
   982.8455       13135.00       5202.850       3245.000    
   1063.275       13444.00       5821.750       3477.000    
   1191.765       13764.00       6427.040       3805.000    
   1371.412       14130.00       7031.780       4016.000    
   1366.863       14510.00       7302.200       4172.000    
   1306.437       14887.00       7919.200       4288.000    
   1398.992       15272.00       8079.390       4423.000    
   1469.222       15682.00       8726.550       4146.000    
   1278.174       16110.00       9234.010       3869.000    
   1240.004       16526.00       10002.14       3891.000    
   1263.637       16942.00       10883.28       4264.000    
   1166.448       17353.00       11846.64       4671.000    
   1159.149       17763.00       13370.23       5117.000    
   2404.098       66706.00       6171.350       907.0000    
   3101.570       68849.00       6451.190       936.0000    
   2952.579       71033.00       7080.230       923.0000    
   3028.151       73251.00       7027.030       943.0000    
   2972.824       75494.00       7296.540       969.0000    
   2923.563       77779.00       8200.650       1014.000    
   3518.666       80135.00       9038.340       1055.000    
   4586.419       82581.00       9593.830       1111.000    
   4007.678       85114.00       10459.59       1103.000    
   3839.168       87736.00       11791.93       1130.000    
   4247.876       90452.00       12147.54       1168.000    
   4301.565       93265.00       13003.52       1207.000    
   5112.284       96180.00       14030.19       1262.000    
   4556.524       99199.00       14795.28       1280.000    
   4820.182       102324.0       15644.53       1309.000    
   4493.650       105558.0       16747.83       1371.000    
   4127.925       108900.0       17389.72       1398.000    
   4487.870       112351.0       18856.57       1394.000    
   5386.400       40900.00       7037.880       1532.000    
   10449.87       42012.00       6499.940       1589.000    
   11105.93       43103.00       7374.560       1625.000    
   11928.31       44143.00       7618.370       1689.000    
   12248.58       45153.00       7927.160       1725.000    
   11677.76       46164.00       8469.900       1781.000    
   11271.81       47209.00       8500.420       1855.000    
   15821.22       48323.00       8312.260       1882.000    
